productCode	 colorId	 imgDetailColor
MBL260	618	https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 3_1714727974_1.jpg
MBL260	618	https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 2_1714727975_1.jpg
MBL260	618	https://monatabluelight.com/images/products/2024/05/03/small/DSCF0650 vuong_1714728015_1.jpg
MBL260	618	https://monatabluelight.com/images/products/2024/05/03/small/DSCF0652 vuong_1714728015_1.jpg
MBL260	618	https://monatabluelight.com/images/products/2024/05/03/small/Mặt sau_1714728019_1.jpg
MBL263	623	https://monatabluelight.com/images/products/2024/05/03/small/DSCF0492 vuong_1714731999_1.jpg
MBL263	623	https://monatabluelight.com/images/products/2024/05/03/small/DSCF0501 vuong_1714732003_1.jpg
MBL263	623	https://monatabluelight.com/images/products/2024/05/03/small/DSCF0500 vuong_1714732001_1.jpg
MBL263	623	https://monatabluelight.com/images/products/2024/05/03/small/DSCF0504 vuong_1714732001_1.jpg
MBL263	623	https://monatabluelight.com/images/products/2024/05/03/small/DSCF0497 vuong_1714732000_1.jpg
MBL263	623	https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 2(1)_1714731978_1.jpg
MBL263	623	https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 1(1)_1714731977_1.jpg
MBL263	623	https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 3(1)_1714731977_1.jpg
MBL263	623	https://monatabluelight.com/images/products/2024/05/03/small/Mặt trước(1)_1714731976_1.jpg
MBL263	624	https://monatabluelight.com/images/products/2024/05/03/small/DSCF0517_1714732001_1.jpg
MBL263	624	https://monatabluelight.com/images/products/2024/05/03/small/DSCF0526 vuong_1714732002_1.jpg
MBL263	624	https://monatabluelight.com/images/products/2024/05/03/small/DSCF0524 VUONG_1714732000_1.jpg
MBL263	624	https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 3_1714730792_1.jpg
MBL263	624	https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 2_1714730792_1.jpg
MBL263	624	https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 1_1714730791_1.jpg
MBL263	624	https://monatabluelight.com/images/products/2024/05/03/small/Mặt trước_1714730790_1.jpg
MBL261	619	https://monatabluelight.com/images/products/2024/05/03/small/Mặt trước_1714728341_1.jpg
MBL261	619	https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 2_1714728341_1.jpg
MBL261	619	https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 1_1714728341_1.jpg
MBL261	619	https://monatabluelight.com/images/products/2024/05/03/small/Chi tiết 3_1714728342_1.jpg
MBL261	619	https://monatabluelight.com/images/products/2024/05/03/small/440865569_459154936477916_7069494555947436817_n_1714728352_1.jpg
